[Wed Apr 20 14:25:38.894440 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Warning:  file_put_contents(/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/cache/temp-54b8eab4625fedb2da241): failed to open stream: Permission denied in /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php on line 281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894477 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Stack trace:, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894487 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   1. {main}() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:0, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894494 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   2. require_once() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:22, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894500 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   3. require_once() /home/pc2/vhosts/solarcraft.local/wp-load.php:50, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894506 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   4. require_once() /home/pc2/vhosts/solarcraft.local/wp-config.php:176, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894511 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   5. do_action() /home/pc2/vhosts/solarcraft.local/wp-settings.php:565, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894518 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   6. WP_Hook->do_action() /home/pc2/vhosts/solarcraft.local/wp-includes/plugin.php:474, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894524 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   7. WP_Hook->apply_filters() /home/pc2/vhosts/solarcraft.local/wp-includes/class-wp-hook.php:331, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894531 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   8. YOOtheme\\Wordpress\\FilterLoader->YOOtheme\\Wordpress\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/platform-wordpress/src/FilterLoader.php:23-31}() /home/pc2/vhosts/solarcraft.local/wp-includes/class-wp-hook.php:307, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894538 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   9. YOOtheme\\Application->call() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/platform-wordpress/src/FilterLoader.php:30, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894545 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  10. YOOtheme\\Theme\\Wordpress\\ThemeLoader::setupTheme() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/container/src/Container.php:268, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894552 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  11. YOOtheme\\Application::YOOtheme\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme/bootstrap.php:12-14}() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-wordpress/src/ThemeLoader.php:47, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894565 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  12. YOOtheme\\Configuration\\Configuration->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme/bootstrap.php:13, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894572 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  13. YOOtheme\\Configuration\\Resolver->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Configuration.php:109, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894579 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  14. YOOtheme\\Configuration\\Resolver->loadJsonFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:193, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894585 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  15. YOOtheme\\Configuration\\Resolver->writeCacheFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:257, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.894591 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  16. file_put_contents() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895588 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Warning:  file_put_contents(/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/cache/temp-5ad3d906625fedb2da9b6): failed to open stream: Permission denied in /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php on line 281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895601 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Stack trace:, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895608 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   1. {main}() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:0, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895615 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   2. require_once() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:22, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895620 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   3. require_once() /home/pc2/vhosts/solarcraft.local/wp-load.php:50, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895625 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   4. require_once() /home/pc2/vhosts/solarcraft.local/wp-config.php:176, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895631 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   5. do_action() /home/pc2/vhosts/solarcraft.local/wp-settings.php:565, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
